,nome_jogador,nota_geral,nota_potencial,valor_eur,salario_eur,idade,altura_cm,peso_kg,pe_fraco,habilidade,rescisao_eur,ritmo,chute,passe,drible,defesa,fisico,mentalidade_visao,mentalidade_compostura,mentalidade_posicionamento,poder_salto,poder_stamina,poder_forca,posicao
5919,J. Jones,69,69,1200000.0,4000.0,29,180,73,2,3,1800000.0,78.0,58.0,67.0,71.0,62.0,72.0,69,67,68,73,75,71,Zagueiro
5920,S. Davis,69,69,1400000.0,5000.0,28,183,75,4,3,2000000.0,70.0,57.0,69.0,69.0,67.0,77.0,64,71,59,68,91,76,Meio campo
5921,R. García,69,69,900000.0,550.0,32,183,79,3,2,2000000.0,45.0,35.0,52.0,53.0,70.0,73.0,57,66,32,63,59,80,Zagueiro
5922,N. Mazzola,69,69,1200000.0,6000.0,31,188,83,3,2,1700000.0,50.0,70.0,57.0,65.0,36.0,81.0,59,73,73,71,69,91,Atacante
5924,T. Parker,69,70,1300000.0,4000.0,28,188,88,3,2,2000000.0,69.0,31.0,44.0,54.0,67.0,82.0,35,58,28,89,80,89,Zagueiro
5926,C. Arrieta,69,73,1800000.0,2000.0,25,172,69,3,2,2600000.0,88.0,50.0,59.0,63.0,61.0,73.0,52,57,65,83,91,67,Zagueiro
5927,S. Spierings,69,73,1900000.0,4000.0,25,187,83,3,3,3500000.0,56.0,54.0,68.0,72.0,52.0,67.0,72,70,52,64,68,75,Meio campo
5928,A. Donis,69,72,1900000.0,11000.0,24,178,77,4,3,3900000.0,81.0,68.0,57.0,73.0,24.0,61.0,55,61,68,69,62,62,Atacante
5930,D. Barlaser,69,74,2100000.0,6000.0,24,184,62,3,3,3800000.0,53.0,60.0,69.0,67.0,64.0,68.0,71,62,61,60,77,67,Meio campo
5931,T. Tekie,69,73,2000000.0,6000.0,24,175,65,3,3,3100000.0,77.0,54.0,70.0,75.0,51.0,57.0,72,68,53,66,80,42,Meio campo
5932,M. Pouraliganji,69,69,1200000.0,6000.0,29,187,83,3,3,1900000.0,69.0,57.0,61.0,68.0,69.0,73.0,61,60,64,73,76,73,Zagueiro
5933,L. Walsh,69,76,2800000.0,12000.0,23,168,65,3,3,5900000.0,68.0,64.0,70.0,74.0,59.0,60.0,71,74,65,63,71,51,Meio campo
5934,C. Carter-Vickers,69,78,2900000.0,26000.0,23,183,92,3,2,,63.0,23.0,53.0,52.0,68.0,71.0,41,60,27,72,55,81,Zagueiro
5935,D. Cardoso,69,69,900000.0,500.0,32,184,78,3,2,2000000.0,68.0,33.0,48.0,57.0,70.0,70.0,48,70,27,71,69,71,Zagueiro
5936,Juan Pérez,69,75,1800000.0,8000.0,24,187,83,3,1,4100000.0,,,,,,,30,41,20,45,28,69,Goleiro
5937,Raphael Guzzo,69,72,1800000.0,3000.0,26,177,70,3,3,3900000.0,64.0,64.0,70.0,71.0,58.0,63.0,66,72,65,57,64,65,Meio campo
5938,Javi Jiménez,69,74,1900000.0,5000.0,25,171,70,2,2,3200000.0,86.0,34.0,62.0,70.0,64.0,70.0,59,70,69,62,67,71,Zagueiro
5940,J. Rassoul,69,74,1800000.0,8000.0,25,187,81,5,3,3700000.0,78.0,46.0,57.0,66.0,66.0,79.0,51,69,52,80,72,84,Zagueiro
5942,P. Köpke,69,72,1900000.0,7000.0,25,176,75,3,3,3200000.0,75.0,69.0,60.0,70.0,32.0,62.0,54,60,68,76,64,65,Atacante
5944,A. Zhirov,69,69,1100000.0,4000.0,30,193,88,3,2,1700000.0,57.0,30.0,42.0,42.0,70.0,75.0,34,65,29,65,49,88,Zagueiro
5945,S. Gartenmann,69,74,1900000.0,6000.0,24,185,83,3,2,2500000.0,60.0,33.0,55.0,57.0,68.0,77.0,53,64,51,84,76,81,Zagueiro
5947,A. Calabresi,69,73,1800000.0,2000.0,25,186,75,3,2,3000000.0,53.0,31.0,58.0,63.0,70.0,71.0,56,64,45,67,65,75,Zagueiro
5949,D. Baumgartner,69,73,1800000.0,7000.0,24,187,72,2,2,2700000.0,67.0,35.0,52.0,51.0,69.0,74.0,35,56,41,71,71,76,Zagueiro
5950,O. Rodríguez,69,74,2000000.0,9000.0,24,175,74,2,3,3600000.0,67.0,47.0,61.0,67.0,67.0,60.0,47,63,52,58,72,57,Zagueiro
5952,A. Bardakcı,69,70,1400000.0,8000.0,26,190,80,2,2,2900000.0,48.0,32.0,47.0,54.0,70.0,74.0,30,59,47,55,71,77,Zagueiro
5954,Anderson Lopes,69,69,1500000.0,7000.0,27,185,82,4,4,2300000.0,89.0,69.0,60.0,67.0,30.0,77.0,66,65,65,68,81,81,Atacante
5955,Leandro Silva,69,70,1600000.0,4000.0,27,173,71,3,3,3400000.0,69.0,66.0,69.0,67.0,60.0,67.0,66,62,66,57,80,60,Meio campo
5956,Emerson Santos,69,73,1700000.0,5000.0,26,184,75,3,2,2300000.0,74.0,59.0,50.0,58.0,70.0,71.0,46,60,24,86,66,76,Zagueiro
5957,Luciano Cacheira,69,69,1100000.0,5000.0,25,181,75,2,1,2100000.0,,,,,,,48,49,11,64,22,38,Goleiro
5958,Fredinho Mutto,69,69,1200000.0,7000.0,29,178,78,2,2,2300000.0,70.0,46.0,65.0,55.0,64.0,73.0,47,64,49,42,68,72,Zagueiro
5959,Anselmo Meirás,69,69,1400000.0,6000.0,25,177,75,2,2,2700000.0,66.0,44.0,58.0,54.0,68.0,66.0,41,59,42,69,73,68,Zagueiro
5960,Nosberto Vila,69,69,1400000.0,6000.0,25,176,75,3,3,2700000.0,60.0,56.0,63.0,68.0,68.0,70.0,52,57,48,63,72,71,Zagueiro
5961,Charles de Breito,69,69,850000.0,8000.0,33,170,68,3,2,1600000.0,72.0,53.0,68.0,69.0,65.0,82.0,65,62,66,71,87,84,Meio campo
5963,Kaíque Mutto,69,69,950000.0,7000.0,29,191,82,3,1,1800000.0,,,,,,,71,61,5,71,31,67,Goleiro
5964,Jessé Ferdeira,69,69,1200000.0,8000.0,29,181,80,1,2,2300000.0,65.0,53.0,64.0,57.0,68.0,69.0,56,62,53,72,69,67,Zagueiro
5965,Ataúlfo Anjos,69,69,1200000.0,8000.0,29,186,76,3,3,2300000.0,72.0,54.0,59.0,67.0,69.0,74.0,48,64,63,68,71,75,Zagueiro
5967,Emidio Hoffman,69,69,1300000.0,7000.0,25,188,79,3,2,2500000.0,50.0,53.0,56.0,55.0,70.0,72.0,48,57,42,66,70,76,Zagueiro
5968,Césario Limberg,69,69,1300000.0,14000.0,25,191,87,3,2,2500000.0,56.0,50.0,57.0,49.0,70.0,72.0,44,60,31,68,58,88,Zagueiro
5974,Adão Salvadaldo,69,72,1900000.0,8000.0,25,174,69,5,3,3800000.0,72.0,73.0,51.0,75.0,26.0,51.0,36,58,69,70,53,52,Atacante
5975,Sevinho Santos,69,69,1700000.0,6000.0,21,180,75,3,3,3200000.0,64.0,66.0,54.0,70.0,31.0,61.0,54,61,77,72,54,71,Atacante
5976,Kaio Figueiras,69,69,1200000.0,7000.0,29,177,71,2,2,2300000.0,69.0,51.0,65.0,66.0,64.0,66.0,58,56,67,64,80,61,Zagueiro
5977,A. Al Malki,69,72,1800000.0,17000.0,26,174,70,3,2,3200000.0,74.0,60.0,65.0,68.0,69.0,77.0,65,56,57,70,84,74,Meio campo
5978,Lucas Taylor,69,72,1700000.0,600.0,26,176,69,2,3,3900000.0,83.0,62.0,61.0,70.0,62.0,59.0,59,59,64,64,69,51,Zagueiro
5979,J. Clarke-Salter,69,76,2600000.0,30000.0,23,188,70,3,2,,67.0,33.0,50.0,44.0,72.0,71.0,37,60,28,73,68,77,Zagueiro
5980,José Machín,69,74,2100000.0,2000.0,24,184,74,3,3,3500000.0,64.0,56.0,69.0,71.0,54.0,63.0,70,61,66,59,70,63,Meio campo
5982,R. Holgado,69,72,1800000.0,9000.0,26,178,85,3,2,2800000.0,70.0,71.0,56.0,67.0,30.0,66.0,55,54,71,72,66,74,Atacante
5987,E. Saavedra,69,73,1800000.0,550.0,25,173,66,3,3,4000000.0,73.0,56.0,56.0,63.0,64.0,54.0,40,51,53,69,89,40,Zagueiro
5988,José Amo,69,78,2900000.0,4000.0,23,181,75,3,2,5200000.0,62.0,38.0,53.0,61.0,69.0,70.0,35,60,46,80,68,74,Zagueiro
5989,M. Verrips,69,75,1800000.0,8000.0,24,195,90,3,1,3800000.0,,,,,,,28,28,7,32,17,67,Goleiro
5990,F. Bandinelli,69,72,1800000.0,20000.0,26,180,74,3,3,3400000.0,72.0,67.0,67.0,69.0,63.0,65.0,66,66,63,70,76,60,Meio campo
5991,A. Keita,69,69,240000.0,2000.0,34,185,75,2,1,300000.0,,,,,,,53,62,5,58,26,51,Goleiro
5992,A. Soto,69,69,1300000.0,8000.0,27,177,73,2,3,,77.0,46.0,62.0,70.0,63.0,73.0,55,58,49,75,82,68,Zagueiro
5994,A. Peñaranda,69,74,2100000.0,22000.0,24,185,83,3,3,,74.0,67.0,65.0,73.0,36.0,60.0,71,65,68,68,46,64,Atacante
5995,K. Davis,69,75,2200000.0,25000.0,23,191,75,2,3,4600000.0,65.0,65.0,53.0,67.0,42.0,80.0,58,59,69,68,65,92,Atacante
5996,J. Hoogma,69,76,2600000.0,12000.0,23,190,81,3,2,,55.0,29.0,51.0,58.0,69.0,72.0,35,63,36,70,69,75,Zagueiro
5997,F. Tingager,69,70,1300000.0,7000.0,28,198,94,2,2,1700000.0,41.0,25.0,49.0,49.0,69.0,77.0,40,61,29,67,65,92,Zagueiro
5998,M. Prévot,69,74,1700000.0,2000.0,24,187,81,3,1,3100000.0,,,,,,,50,58,6,66,27,57,Goleiro
5999,Kim Gun Hee,69,72,1800000.0,4000.0,26,186,79,5,3,2400000.0,78.0,67.0,54.0,69.0,37.0,77.0,58,67,70,65,70,85,Atacante
6000,E. Oelschlägel,69,74,1600000.0,6000.0,25,193,85,3,1,2500000.0,,,,,,,30,32,7,54,36,74,Goleiro
6001,F. Mayembo,69,73,1700000.0,4000.0,25,184,88,3,2,3100000.0,46.0,38.0,45.0,49.0,68.0,81.0,33,50,26,66,74,91,Zagueiro
6003,N. Ramírez,69,78,2900000.0,3000.0,24,182,80,2,2,4500000.0,57.0,36.0,50.0,58.0,70.0,69.0,43,57,26,72,61,76,Zagueiro
6006,Daniel dos Anjos,69,74,2100000.0,4000.0,25,183,73,3,2,4600000.0,65.0,70.0,50.0,67.0,22.0,62.0,47,59,70,63,64,63,Atacante
6007,K. Hachisuka,69,69,1200000.0,3000.0,30,180,76,4,2,1500000.0,72.0,42.0,63.0,62.0,65.0,75.0,68,57,60,76,83,75,Zagueiro
6008,H. Okuno,69,69,1100000.0,5000.0,31,171,68,3,3,1400000.0,71.0,70.0,69.0,69.0,54.0,73.0,68,65,63,71,95,71,Meio campo
6009,Y. Ideguchi,69,73,2000000.0,6000.0,24,171,71,3,3,2700000.0,71.0,61.0,67.0,65.0,63.0,73.0,66,64,62,71,88,66,Meio campo
6010,Oh Jae Suk,69,69,1000000.0,3000.0,31,176,73,4,2,1300000.0,60.0,35.0,58.0,66.0,69.0,70.0,56,61,61,55,74,72,Zagueiro
6012,J. Stage,69,73,2000000.0,9000.0,24,185,83,3,3,2800000.0,72.0,63.0,67.0,69.0,66.0,77.0,66,73,69,76,85,77,Meio campo
6013,D. Sappa,69,74,1600000.0,5000.0,26,193,90,3,1,,,,,,,,43,47,7,55,23,73,Goleiro
6014,Y. Yoshida,69,69,1000000.0,3000.0,31,167,72,4,3,1300000.0,76.0,48.0,65.0,66.0,64.0,70.0,64,63,59,93,80,66,Zagueiro
6015,S. Colombatto,69,74,2100000.0,10000.0,24,179,71,2,3,3700000.0,65.0,58.0,69.0,68.0,60.0,71.0,72,67,61,70,74,69,Meio campo
6017,H. Kawabe,69,72,1800000.0,7000.0,25,178,70,3,3,2700000.0,80.0,64.0,67.0,69.0,65.0,69.0,70,63,68,64,77,69,Meio campo
6019,L. Gómez,69,74,1900000.0,7000.0,25,163,66,3,3,,77.0,60.0,63.0,71.0,63.0,65.0,61,64,67,72,80,59,Zagueiro
6020,M. Muheim,69,76,2700000.0,5000.0,23,182,77,3,2,,73.0,55.0,65.0,65.0,65.0,67.0,66,60,66,57,75,67,Zagueiro
6021,R. Ogawa,69,74,2000000.0,5000.0,24,183,78,2,2,2700000.0,79.0,55.0,62.0,64.0,62.0,77.0,46,63,57,61,86,79,Zagueiro
6025,T. Iwanami,69,71,1500000.0,6000.0,27,186,72,3,2,2100000.0,66.0,24.0,55.0,50.0,68.0,73.0,58,55,28,79,70,75,Zagueiro
6026,C. Monschein,69,69,1400000.0,14000.0,28,178,74,3,3,2100000.0,85.0,68.0,52.0,69.0,22.0,69.0,62,63,72,72,70,66,Atacante
6027,N. Fujita,69,69,650000.0,5000.0,34,175,72,3,2,845000.0,52.0,59.0,69.0,70.0,64.0,71.0,68,72,51,54,84,69,Meio campo
6028,T. Kunimoto,69,76,2800000.0,5000.0,23,174,70,3,3,4200000.0,79.0,64.0,70.0,75.0,43.0,69.0,73,66,63,72,72,70,Meio campo
6031,M. Hartel,69,72,1800000.0,9000.0,25,177,68,4,3,2900000.0,65.0,63.0,68.0,76.0,36.0,60.0,72,64,65,56,92,47,Meio campo
6032,R. Harakawa,69,69,1500000.0,5000.0,27,175,72,3,3,2000000.0,83.0,66.0,69.0,71.0,60.0,69.0,68,66,67,65,77,69,Meio campo
6033,S. Kurumaya,69,69,1200000.0,6000.0,29,178,75,3,3,1600000.0,79.0,57.0,64.0,62.0,63.0,72.0,60,65,67,81,82,71,Zagueiro
6034,V. Henry,69,70,1500000.0,4000.0,27,178,73,3,3,2700000.0,77.0,61.0,63.0,70.0,62.0,68.0,52,59,54,49,74,69,Lateral
6035,J. Glesnes,69,72,1600000.0,4000.0,27,188,84,3,2,2500000.0,54.0,55.0,56.0,59.0,67.0,78.0,49,65,42,82,72,83,Zagueiro
6038,Pomares,69,69,1300000.0,5000.0,28,182,71,3,2,2100000.0,75.0,53.0,59.0,60.0,64.0,76.0,50,53,48,74,83,76,Zagueiro
6039,R. Bormuth,69,73,1700000.0,7000.0,25,190,87,3,2,2800000.0,72.0,25.0,38.0,49.0,70.0,74.0,39,62,28,82,59,84,Zagueiro
6040,Thiago Martins,69,72,1600000.0,6000.0,26,185,76,3,2,2200000.0,76.0,35.0,55.0,58.0,69.0,72.0,46,55,32,72,70,76,Zagueiro
6041,N. Leguizamón,69,72,1800000.0,7000.0,26,180,73,4,3,2800000.0,71.0,68.0,59.0,69.0,30.0,71.0,65,69,69,72,71,72,Atacante
6042,Júnior Morais,69,69,500000.0,5000.0,34,176,77,3,3,675000.0,70.0,68.0,66.0,68.0,66.0,71.0,67,53,65,59,66,70,Zagueiro
6043,L. Mühl,69,75,2000000.0,8000.0,24,189,82,3,2,3300000.0,71.0,37.0,54.0,56.0,68.0,73.0,51,57,30,66,63,81,Zagueiro
6044,Caio Padricio,69,69,950000.0,6000.0,29,186,79,2,1,1800000.0,,,,,,,45,34,11,55,39,41,Goleiro
6049,B. Bese,69,69,1300000.0,7000.0,27,188,84,3,3,2000000.0,80.0,52.0,56.0,64.0,62.0,79.0,48,60,63,60,87,81,Zagueiro
6050,M. Schubert,69,76,2400000.0,5000.0,23,187,82,3,1,4100000.0,,,,,,,52,35,4,71,28,56,Goleiro
6052,Jaílson,69,72,1600000.0,7000.0,25,187,74,3,2,2600000.0,70.0,54.0,60.0,64.0,69.0,76.0,57,63,60,80,76,76,Zagueiro
6053,P. Sandler,69,77,2900000.0,34000.0,24,190,82,3,2,,63.0,39.0,62.0,68.0,70.0,66.0,66,73,40,69,53,73,Zagueiro
6056,S. Pérez,69,69,925000.0,5000.0,30,180,76,3,1,1300000.0,,,,,,,43,53,12,62,39,59,Goleiro
6057,Martínez,69,70,1300000.0,4000.0,28,188,80,3,2,2000000.0,44.0,36.0,51.0,53.0,69.0,72.0,40,59,32,67,68,77,Zagueiro
6058,E. Bohinen,69,79,3100000.0,16000.0,22,189,81,3,3,5600000.0,67.0,60.0,67.0,70.0,66.0,69.0,69,66,67,69,78,67,Meio campo
6064,Y. Gomis,69,69,1400000.0,6000.0,29,180,76,3,3,2500000.0,85.0,68.0,54.0,69.0,31.0,71.0,58,65,71,50,80,81,Atacante
6065,A. Androutsos,69,76,2700000.0,550.0,24,182,65,3,3,6200000.0,78.0,64.0,69.0,69.0,63.0,63.0,68,67,64,69,72,61,Zagueiro
6066,T. McIntyre,69,77,2900000.0,11000.0,22,185,73,2,2,6100000.0,54.0,36.0,54.0,62.0,68.0,71.0,52,65,37,88,68,67,Zagueiro
6067,Y. Nogami,69,69,1100000.0,5000.0,30,180,72,2,2,1400000.0,48.0,32.0,52.0,63.0,71.0,71.0,43,62,29,64,74,72,Zagueiro
6071,I. Torres,69,69,1200000.0,600.0,30,177,75,3,3,2600000.0,76.0,63.0,69.0,66.0,63.0,65.0,68,55,70,68,72,65,Zagueiro
6072,F. Venegas,69,78,3000000.0,16000.0,22,178,70,2,2,5400000.0,68.0,54.0,65.0,63.0,68.0,69.0,59,66,65,64,70,71,Zagueiro
6073,O. De Wolf,69,74,1700000.0,6000.0,24,190,73,3,1,2700000.0,,,,,,,48,29,7,53,23,69,Goleiro
6074,D. Maresic,69,77,2900000.0,8000.0,21,183,74,5,2,,48.0,31.0,53.0,53.0,73.0,71.0,53,74,28,85,70,73,Zagueiro
6077,M. Di Gregorio,69,74,1700000.0,2000.0,23,187,81,3,1,2800000.0,,,,,,,35,56,6,66,44,62,Goleiro
6078,M. Saadane,69,70,1300000.0,13000.0,29,187,75,3,2,2200000.0,59.0,49.0,59.0,61.0,66.0,81.0,49,62,36,75,84,82,Zagueiro
6079,G. Gómez,69,74,1600000.0,6000.0,25,190,88,2,1,2500000.0,,,,,,,45,47,9,67,32,73,Goleiro
6080,L. García,69,77,2700000.0,3000.0,23,190,81,2,1,4900000.0,,,,,,,30,43,11,70,45,51,Goleiro
6081,Daniel Mestrança,69,69,1400000.0,6000.0,25,185,74,2,2,2700000.0,62.0,47.0,59.0,64.0,69.0,68.0,47,80,49,70,65,71,Zagueiro
6082,João Basso,69,78,2900000.0,3000.0,24,187,74,2,2,6500000.0,55.0,50.0,55.0,57.0,71.0,65.0,40,53,35,72,58,67,Zagueiro
6083,A. Santamaría,69,69,1200000.0,7000.0,29,184,79,3,3,2000000.0,61.0,60.0,65.0,64.0,71.0,71.0,62,66,62,45,72,73,Zagueiro
6085,Josema,69,76,2500000.0,8000.0,25,184,81,3,2,5800000.0,60.0,35.0,53.0,52.0,69.0,71.0,48,61,38,84,62,73,Zagueiro
6086,Lasure,69,70,1500000.0,5000.0,27,175,75,3,2,2500000.0,71.0,44.0,58.0,61.0,64.0,76.0,42,59,66,72,90,74,Zagueiro
6088,R. Glatzel,69,70,1600000.0,8000.0,27,193,85,4,2,2700000.0,65.0,69.0,45.0,64.0,27.0,71.0,48,61,70,48,64,85,Atacante
6089,S. Shashoua,69,79,3200000.0,5000.0,22,170,65,3,3,5800000.0,86.0,68.0,64.0,75.0,38.0,58.0,66,69,72,59,69,58,Atacante
6090,L. Grill,69,76,2400000.0,13000.0,22,192,84,3,1,,,,,,,,38,38,6,56,31,60,Goleiro
6091,Pedro Marques,69,78,3100000.0,6000.0,23,181,77,4,3,,76.0,70.0,50.0,68.0,27.0,68.0,57,64,71,69,69,72,Atacante
6093,D. Bamba,69,72,1800000.0,8000.0,26,184,75,4,3,3600000.0,86.0,68.0,54.0,70.0,27.0,70.0,56,65,70,81,76,70,Atacante
6094,Y. Maleh,69,78,3100000.0,19000.0,22,177,74,3,3,5900000.0,68.0,66.0,69.0,73.0,64.0,65.0,59,63,62,53,76,65,Meio campo
6095,Bruno Wilson,69,77,2900000.0,3000.0,24,191,80,3,2,6700000.0,51.0,30.0,45.0,49.0,70.0,75.0,29,64,29,68,69,79,Zagueiro
6098,N. Lima,69,71,1600000.0,4000.0,26,175,79,4,3,2400000.0,82.0,62.0,59.0,67.0,62.0,72.0,60,61,60,66,76,71,Zagueiro
6101,C. Ramirez,69,69,1400000.0,5000.0,30,188,85,3,3,2500000.0,63.0,70.0,52.0,68.0,30.0,75.0,56,72,75,74,74,78,Atacante
6104,C. Ndiaye,69,74,2100000.0,8000.0,25,190,80,3,2,4400000.0,77.0,66.0,53.0,67.0,32.0,76.0,50,63,70,70,75,78,Atacante
6105,L. Abubakar,69,74,1800000.0,4000.0,26,183,82,2,2,2800000.0,56.0,32.0,50.0,47.0,67.0,79.0,39,49,24,85,68,86,Zagueiro
6106,T. De Smet,69,77,3000000.0,9000.0,23,182,65,3,2,,70.0,47.0,60.0,60.0,66.0,70.0,54,57,51,69,74,68,Zagueiro
6107,R. Koike,69,72,1700000.0,6000.0,25,170,67,3,3,2300000.0,89.0,29.0,57.0,68.0,60.0,68.0,48,52,61,87,88,59,Zagueiro
6108,Carlinhos Junior,69,70,1700000.0,3000.0,26,174,71,4,4,2300000.0,87.0,68.0,64.0,71.0,28.0,66.0,64,61,68,44,82,67,Atacante
6109,Paik Seung Ho,69,75,2200000.0,5000.0,24,180,73,5,4,3300000.0,63.0,60.0,67.0,73.0,55.0,62.0,72,70,57,59,76,59,Meio campo
6110,C. Colmán,69,70,1600000.0,5000.0,27,185,79,4,3,,76.0,66.0,49.0,68.0,30.0,76.0,52,60,70,86,68,78,Atacante
6111,D. Schmidt,69,70,1100000.0,6000.0,29,196,90,4,1,1700000.0,,,,,,,40,33,6,39,37,67,Goleiro
6112,K. Nagato,69,71,1600000.0,5000.0,26,173,73,3,3,2200000.0,74.0,52.0,67.0,64.0,64.0,76.0,71,65,63,80,89,72,Zagueiro
6115,T. Inukai,69,71,1400000.0,5000.0,28,182,77,3,2,1900000.0,57.0,23.0,49.0,44.0,70.0,78.0,50,54,23,81,75,83,Zagueiro
6118,R. Matsuda,69,69,1200000.0,5000.0,29,171,69,2,2,1600000.0,82.0,47.0,63.0,65.0,62.0,71.0,63,55,56,78,81,64,Zagueiro
6119,B. Bvuma,69,73,1500000.0,500.0,26,186,73,3,1,3400000.0,,,,,,,44,47,9,62,30,35,Goleiro
6120,T. Edwards,69,77,3000000.0,11000.0,22,175,76,3,2,,76.0,42.0,62.0,63.0,63.0,74.0,58,60,51,86,78,75,Zagueiro
6121,R. Brewster,69,80,3200000.0,11000.0,21,180,75,4,3,6700000.0,79.0,71.0,55.0,71.0,20.0,61.0,56,62,70,67,64,62,Atacante
6123,L. Weinkauf,69,73,1600000.0,8000.0,24,198,94,3,1,,,,,,,,25,39,6,49,26,59,Goleiro
6125,S. Mai,69,70,1400000.0,8000.0,27,195,91,2,2,2300000.0,41.0,56.0,48.0,51.0,67.0,82.0,51,65,58,42,64,92,Zagueiro
6127,K. Broll,69,74,1600000.0,6000.0,25,184,85,3,1,2600000.0,,,,,,,48,60,7,54,25,49,Goleiro
6128,J. Larsen,69,79,3200000.0,5000.0,21,193,86,3,3,5300000.0,61.0,68.0,55.0,65.0,31.0,76.0,63,70,71,71,72,83,Atacante
6129,L. Wing,69,71,1700000.0,14000.0,26,186,79,3,3,,68.0,66.0,69.0,70.0,58.0,70.0,72,68,63,67,75,69,Meio campo
6130,Lucas Possignolo,69,72,1600000.0,4000.0,27,188,80,2,2,3500000.0,54.0,25.0,44.0,50.0,69.0,72.0,31,58,20,87,68,72,Zagueiro
6133,U. Bozok,69,74,2100000.0,9000.0,24,178,75,3,3,,80.0,68.0,60.0,71.0,24.0,66.0,65,68,71,74,71,67,Atacante
6135,V. Hammershøy-Mistrati,69,69,1400000.0,7000.0,29,177,76,3,3,1800000.0,65.0,65.0,66.0,71.0,60.0,70.0,67,68,66,67,89,59,Meio campo
6136,B. Moussiti-Oko,69,72,1800000.0,4000.0,26,184,89,2,2,3300000.0,55.0,69.0,47.0,63.0,27.0,78.0,47,60,69,77,76,91,Atacante
6137,G. Anestis,69,70,1000000.0,2000.0,30,198,93,2,1,1300000.0,,,,,,,38,42,10,37,25,68,Goleiro
6138,Y. Njie,69,70,1600000.0,8000.0,27,188,72,3,3,3500000.0,76.0,67.0,56.0,70.0,39.0,69.0,60,73,69,60,70,73,Atacante
6139,D. Eckert Ayensa,69,74,2100000.0,9000.0,24,182,80,4,3,3400000.0,79.0,67.0,47.0,70.0,27.0,63.0,41,57,63,64,72,74,Atacante
6141,I. Maela,69,69,1300000.0,500.0,28,170,68,3,3,2900000.0,69.0,39.0,46.0,66.0,69.0,58.0,41,68,41,64,69,55,Zagueiro
6142,T. Hadebe,69,73,1700000.0,4000.0,25,187,84,3,2,2600000.0,75.0,32.0,43.0,46.0,69.0,75.0,36,54,30,81,63,82,Zagueiro
6144,T. Handwerker,69,75,2100000.0,5000.0,23,182,74,3,2,3800000.0,84.0,45.0,60.0,66.0,62.0,69.0,55,54,49,67,83,66,Zagueiro
6145,Glauder,69,74,1900000.0,5000.0,25,183,76,3,2,3200000.0,70.0,35.0,56.0,63.0,67.0,79.0,42,58,63,78,77,80,Zagueiro
6147,O. Danchenko,69,69,1400000.0,550.0,26,176,75,3,3,3100000.0,72.0,44.0,68.0,66.0,64.0,60.0,67,65,67,56,67,56,Zagueiro
6148,D. Frattesi,69,81,3400000.0,11000.0,21,184,74,4,3,6500000.0,74.0,68.0,68.0,72.0,61.0,66.0,68,69,68,70,75,60,Meio campo
6149,D. Batubinsika,69,74,1800000.0,4000.0,25,185,84,3,2,3900000.0,71.0,28.0,51.0,54.0,67.0,77.0,54,61,24,65,64,84,Zagueiro
6150,P. Tsintotas,69,70,1200000.0,500.0,27,194,89,2,1,2700000.0,,,,,,,57,57,10,65,32,70,Goleiro
6152,J. Arias,69,69,1400000.0,9000.0,28,179,79,3,2,,61.0,71.0,54.0,67.0,27.0,70.0,56,68,73,74,72,70,Atacante
6153,B. Toma,69,78,3100000.0,7000.0,22,173,69,3,3,5300000.0,67.0,63.0,66.0,72.0,63.0,69.0,71,64,65,64,72,69,Meio campo
6154,D. Kolovetsios,69,70,1300000.0,7000.0,29,183,77,4,2,2700000.0,64.0,33.0,51.0,51.0,71.0,73.0,50,74,41,60,78,73,Zagueiro
6155,R. Porteous,69,76,2600000.0,4000.0,22,188,73,3,2,5100000.0,54.0,32.0,51.0,51.0,67.0,80.0,61,56,49,83,75,80,Zagueiro
6159,L. Amarilla,69,71,1800000.0,650.0,25,182,77,3,2,4100000.0,71.0,69.0,57.0,62.0,34.0,65.0,61,51,72,77,63,75,Atacante
6160,S. Diarra,69,72,1800000.0,5000.0,26,173,68,3,3,3300000.0,66.0,56.0,65.0,72.0,65.0,72.0,65,66,62,84,83,64,Meio campo
6161,O. Reabciuk,69,75,2100000.0,550.0,23,180,72,3,3,4800000.0,81.0,35.0,57.0,66.0,64.0,63.0,48,63,55,65,71,60,Zagueiro
6162,J. Mbom,69,79,3000000.0,4000.0,21,183,80,3,3,5400000.0,65.0,60.0,67.0,69.0,64.0,74.0,65,62,60,61,75,73,Zagueiro
6164,L. Vera,69,75,2200000.0,7000.0,24,164,60,3,4,,80.0,57.0,69.0,75.0,55.0,51.0,71,59,63,61,77,34,Meio campo
6165,G. Risso Patrón,69,74,1900000.0,6000.0,25,173,73,3,2,3000000.0,78.0,37.0,56.0,64.0,65.0,65.0,46,65,64,59,73,65,Zagueiro
6168,Nolaskoain,69,76,2800000.0,10000.0,22,186,82,3,2,6400000.0,54.0,60.0,65.0,68.0,70.0,70.0,68,70,65,72,69,74,Meio campo
6170,Igor,69,78,2900000.0,17000.0,23,185,84,2,2,5500000.0,68.0,31.0,49.0,53.0,69.0,75.0,56,62,48,70,65,78,Zagueiro
6171,V. Gyökeres,69,76,2800000.0,11000.0,23,187,86,3,3,5900000.0,73.0,66.0,61.0,70.0,26.0,69.0,58,60,69,65,69,74,Atacante
